rank,test
1,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testUnwrappedListBeanDeser
2,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testNullSuppression
3,com.fasterxml.jackson.dataformat.xml.failing.TestUntypedListSerialization#testListAsObject
4,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testOptionalsWithMissingType
5,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest#testEmptyList
6,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetValue
7,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSecondLevelAttribute
8,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest#testEmpty
9,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest#testAnnotationSharing
10,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testAsTextWithJAXB
11,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testCopyWith
12,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testMixedContent
13,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testSimpleNsAttr
14,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testWrappedLists
15,com.fasterxml.jackson.dataformat.xml.ser.TestSerializerCustom#testIssue42
16,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testOptionals
17,com.fasterxml.jackson.dataformat.xml.misc.ArrayConversionsTest#testNullXform
18,com.fasterxml.jackson.dataformat.xml.failing.TestDeserialization#testEmptyStringFromElemAndAttr
19,com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute#testEmptyStringFromElemAndAttr
20,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testMissingString
21,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testSimpleKeyMapSimpleAnnotation
22,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawSimpleValue
