rank,test
1,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest#testRoundtrip
2,com.fasterxml.jackson.dataformat.xml.failing.ListDeser294Test#testNestedLists294
3,com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test#testPolyIdList178
4,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedList
5,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsPropertyWithObjectId
6,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrapping
7,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testWrappedListWithGetters
8,com.fasterxml.jackson.dataformat.xml.deser.SimpleStringValuesTest#testStringsInList
9,com.fasterxml.jackson.dataformat.xml.misc.EmptyPolymorphicTest#testEmpty
10,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIdsFromAttributes
11,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testWithTwoAttributes
12,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testParentListRoundtrip
13,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testUnwrappedLists
14,com.fasterxml.jackson.dataformat.xml.failing.TestUnwrappedDeserIssue86#testDeserializeUnwrappedListWhenLocalNameForRootElementAndXmlPropertyMatch
15,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testListWithAttrOnlyValues
16,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testListSerialization
17,com.fasterxml.jackson.dataformat.xml.lists.RootListHandlingTest#testArraySerialization
18,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue7
19,com.fasterxml.jackson.dataformat.xml.deser.ExceptionDeserializationTest#testEmptyString162
20,com.fasterxml.jackson.dataformat.xml.stream.FormatDetectionTest#testListViaObjectReader
21,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testWrappedLists
22,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testSimpleStringBean
23,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassProperty
24,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testUntypedEnum
25,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testSimpleIntBean
26,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingSubWithAttribute
27,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassObject
28,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testSimpleUnwrappingRoundtrip
29,com.fasterxml.jackson.dataformat.xml.lists.ListAnnotationSharingTest#testAnnotationSharing
30,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsWrappedClassArray
31,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testTextOnlyPojo
32,com.fasterxml.jackson.dataformat.xml.deser.TestDeserialization#testRoundTripWithJacksonExample
33,com.fasterxml.jackson.dataformat.xml.misc.UnwrappingWithXMLTest#testUnwrappingWithAttribute
34,com.fasterxml.jackson.dataformat.xml.ser.TestJDKSerializability#testMapper
35,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testIssue66
36,com.fasterxml.jackson.dataformat.xml.failing.EmptyListDeser124Test#test124
37,com.fasterxml.jackson.dataformat.xml.ser.TestSerializerCustom#testIssue42
38,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testSimple198
39,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testAsTextWithJAXB
40,com.fasterxml.jackson.dataformat.xml.deser.TestEnums#testEnum
41,com.fasterxml.jackson.dataformat.xml.deser.NullConversionsGenericTest#testNullsToGenericPojo
42,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testMultiLevel172
43,com.fasterxml.jackson.dataformat.xml.failing.TypeAttributeOrder242Test#testAttributeOrder
44,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testSimpleMap
45,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testOptionalsWithMissingType
46,com.fasterxml.jackson.dataformat.xml.lists.Issue101UnwrappedListAttributesTest#testOptionalsWithMissingType
47,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testWithAttr
48,com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest#testOptionals
49,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNestedWithEmpty2
50,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested2_1
51,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested1_2b
52,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNested1_2
53,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedLists180Test#testNestedUnwrappedLists180
54,com.fasterxml.jackson.dataformat.xml.lists.NestedUnwrappedListsTest#testNestedWithEmpty
55,com.fasterxml.jackson.dataformat.xml.lists.ListAsObjectTest#testCollection
56,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicList97Test#testBad
57,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testRoundTripWithSample
58,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testSerializeAsText
59,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListWithEmptyCData129Test#testListWithEmptyCData
60,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCDataStringArray
61,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testStringList
62,com.fasterxml.jackson.dataformat.xml.lists.ListSerializationTest#testSimpleWrappedList
63,com.fasterxml.jackson.dataformat.xml.lists.UnwrappedListsTest#testDefaultWrappingWithEmptyLists
64,com.fasterxml.jackson.dataformat.xml.lists.ListDeserializationTest#testUnwrappedListBeanDeser
65,com.fasterxml.jackson.dataformat.xml.lists.EmptyListDeserTest#testEmptyList
66,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testSerializeAsAttr
67,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testRootName
68,com.fasterxml.jackson.dataformat.xml.failing.TestUntypedListSerialization#testListAsObject
69,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testNakedMap
70,com.fasterxml.jackson.dataformat.xml.ser.TestIndentation#testEmptyElem
71,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testListWithAttributes
72,com.fasterxml.jackson.dataformat.xml.jaxb.ElementWrapperTest#testElementWrapper
73,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsClassArray
74,com.fasterxml.jackson.dataformat.xml.MapperCopyTest#testCopyWith
75,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationManual#testIssue54
76,com.fasterxml.jackson.dataformat.xml.incr.IncrementalWritingTest#testSimple
77,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration#testXml11Declaration
78,com.fasterxml.jackson.dataformat.xml.ser.TestXmlDeclaration#testXml10Declaration
79,com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest#testXmlTextWithSuppressedValue
80,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicList97Test#testGood
81,com.fasterxml.jackson.dataformat.xml.misc.RootNameTest#testRootNameAnnotation
82,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMap_nonJaxb
83,com.fasterxml.jackson.dataformat.xml.failing.Issue37AdapterTest#testNeedEncodingKeyMapSimpleAnnotation_nonJaxb
84,com.fasterxml.jackson.dataformat.xml.failing.CaseInsensitiveDeser273Test#testCaseInsensitiveComplex
85,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationOrdering#testOrdering
86,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testIssue19
87,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testSimpleAttrAndElem
88,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith4Bytes
89,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith3Bytes
90,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith2Bytes
91,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith1Byte
92,com.fasterxml.jackson.dataformat.xml.ser.TestBinaryStreamToXMLSerialization#testWith0Bytes
93,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testIssue44
94,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testWriteToFile
95,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testIssue6
96,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testMap
97,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCDataString
98,com.fasterxml.jackson.dataformat.xml.ser.TestNamespaces#testRootNamespace
99,com.fasterxml.jackson.dataformat.xml.misc.TextValueTest#testAlternateTextElementName
100,com.fasterxml.jackson.dataformat.xml.jaxb.WithJAXBAnnotationsTest#testPersonAsXml
101,com.fasterxml.jackson.dataformat.xml.ser.TestSerializationAttr#testSimpleNsAttr
102,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testSimpleNsElem
103,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testSimpleAttribute
104,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest#testEmptyList
105,com.fasterxml.jackson.dataformat.xml.lists.ListWithAttributes#testIssue43
106,com.fasterxml.jackson.dataformat.xml.deser.TestViews#testNullSuppression
