rank,test
1,org.jsoup.integration.ParseTest#testYahooJp
2,org.jsoup.integration.ConnectTest#postFiles
3,org.jsoup.safety.CleanerTest#handlesCustomProtocols
4,org.jsoup.parser.XmlTreeBuilderTest#testDetectCharsetEncodingDeclaration
5,org.jsoup.parser.HtmlParserTest#testHtmlLowerCase
6,org.jsoup.nodes.ElementTest#testCssPath
7,org.jsoup.helper.W3CDomTest#convertsGoogle
8,org.jsoup.nodes.ElementTest#dataset
9,org.jsoup.nodes.ElementTest#testIs
10,org.jsoup.nodes.DocumentTest#testClone
11,org.jsoup.select.ElementsTest#siblings
12,org.jsoup.parser.XmlTreeBuilderTest#roundTripsCdata
13,org.jsoup.parser.HtmlParserTest#selfClosingOnNonvoidIsError
14,org.jsoup.nodes.FormElementTest#createsSubmitableConnection
15,org.jsoup.parser.HtmlParserTest#testInvalidTableContents
16,org.jsoup.select.CssTest#firstOfType
17,org.jsoup.select.SelectorTest#testByAttribute
18,org.jsoup.nodes.EntitiesTest#escape
19,org.jsoup.select.ElementsTest#classes
20,org.jsoup.select.SelectorTest#matchText
21,org.jsoup.select.SelectorTest#containsData
22,org.jsoup.select.ElementsTest#setHtml
23,org.jsoup.integration.ConnectTest#throwsExceptionOn404
24,org.jsoup.select.QueryParserTest#testParsesMultiCorrectly
25,org.jsoup.nodes.ElementTest#testRemoveBeforeIndex
26,org.jsoup.integration.ConnectTest#testBinaryThrowsExceptionWhenTypeIgnored
27,org.jsoup.select.ElementsTest#attributes
28,org.jsoup.parser.HtmlParserTest#fallbackToUtfIfCantEncode
29,org.jsoup.nodes.FormElementTest#hasAssociatedControls
30,org.jsoup.nodes.TextNodeTest#testSplitAnEmbolden
31,org.jsoup.integration.ConnectTest#handlesEmtpyStreamDuringBufferedRead
32,org.jsoup.safety.CleanerTest#handlesFramesets
33,org.jsoup.parser.HtmlParserTest#tracksErrorsWhenRequested
34,org.jsoup.select.CssTest#onlyChild
35,org.jsoup.integration.ConnectTest#sendsRequestBodyWithUrlParams
36,org.jsoup.nodes.ElementTest#testAddBooleanAttribute
37,org.jsoup.parser.HtmlParserTest#handlesUnclosedAnchors
38,org.jsoup.parser.HtmlParserTest#testNoImagesInNoScriptInHead
39,org.jsoup.select.CssTest#root
40,org.jsoup.select.SelectorTest#testWildcardNamespacedTag
41,org.jsoup.select.SelectorTest#testPseudoBetween
42,org.jsoup.nodes.ElementTest#testClearAttributes
43,org.jsoup.parser.XmlTreeBuilderTest#xmlFragment
44,org.jsoup.parser.HtmlParserTest#handlesEscapedScript
45,org.jsoup.select.ElementsTest#before
46,org.jsoup.parser.HtmlParserTest#preSkipsFirstNewline
47,org.jsoup.integration.ConnectTest#ignoresExceptionIfSoConfigured
48,org.jsoup.select.ElementsTest#unwrap
49,org.jsoup.safety.CleanerTest#testIsValidDocument
50,org.jsoup.select.CssTest#lastOfType
51,org.jsoup.select.SelectorTest#containsOwn
52,org.jsoup.nodes.DocumentTypeTest#testRoundTrip
53,org.jsoup.integration.ConnectTest#doesPost
54,org.jsoup.parser.HtmlParserTest#dropsDuplicateAttributes
55,org.jsoup.select.ElementsTest#val
56,org.jsoup.nodes.NodeTest#after
57,org.jsoup.integration.ConnectTest#fetchURl
58,org.jsoup.integration.ConnectTest#doesPostFor307
59,org.jsoup.select.ElementsTest#eachText
60,org.jsoup.select.QueryParserTest#testParsesSingleQuoteInContains
61,org.jsoup.select.ElementsTest#eq
62,org.jsoup.nodes.ElementTest#testShallowClone
63,org.jsoup.nodes.ElementTest#voidTestFilterCallReturnsElement
64,org.jsoup.select.ElementsTest#traverse
65,org.jsoup.nodes.ElementTest#testPrependText
66,org.jsoup.select.ElementsTest#tagNameSet
67,org.jsoup.parser.HtmlParserTest#handlesUnclosedFormattingElements
68,org.jsoup.select.CssTest#nthLastChild_advanced
69,org.jsoup.select.CssTest#onlyOfType
70,org.jsoup.select.ElementsTest#wrapDiv
71,org.jsoup.select.SelectorTest#testMatches
72,org.jsoup.select.SelectorTest#testByAttributeRegexCharacterClass
73,org.jsoup.select.TraversorTest#filterRemove
74,org.jsoup.select.CssTest#empty
75,org.jsoup.parser.HtmlParserTest#testNormalisesIsIndex
76,org.jsoup.parser.TokeniserStateTest#testPublicAndSystemIdentifiersWithWhitespace
77,org.jsoup.nodes.ElementTest#testPreviousElementSiblings
78,org.jsoup.nodes.AttributeTest#html
79,org.jsoup.integration.ConnectTest#bodyAndBytesAvailableBeforeParse
80,org.jsoup.nodes.NodeTest#orphanNodeReturnsNullForSiblingElements
81,org.jsoup.parser.TokenQueueTest#chompToIgnoreCase
82,org.jsoup.parser.HtmlParserTest#handlesWhatWgExpensesTableExample
83,org.jsoup.parser.TokenQueueTest#addFirst
84,org.jsoup.safety.CleanerTest#supplyOutputSettings
85,org.jsoup.integration.ConnectTest#getUtf8Bom
86,org.jsoup.parser.TokeniserTest#handleSuperLargeAttributeName
87,org.jsoup.nodes.ElementTest#testGetSiblings
88,org.jsoup.select.ElementsTest#parents
89,org.jsoup.select.SelectorTest#testByAttributeStarting
90,org.jsoup.select.ElementsTest#not
91,org.jsoup.nodes.DocumentTest#setTextPreservesDocumentStructure
92,org.jsoup.parser.XmlTreeBuilderTest#testCommentAndDocType
93,org.jsoup.nodes.FormElementTest#removeFormElement
94,org.jsoup.nodes.ElementTest#testSetHtmlTitle
95,org.jsoup.select.ElementsTest#after
96,org.jsoup.parser.HtmlParserTest#handlesUnknownInlineTags
97,org.jsoup.nodes.TextNodeTest#testLeadNodesHaveNoChildren
98,org.jsoup.nodes.ElementTest#testGetElementsWithClass
99,org.jsoup.parser.HtmlParserTest#canPreserveBothCase
100,org.jsoup.nodes.ElementTest#testRemoveAfterIndex
101,org.jsoup.safety.CleanerTest#simpleBehaviourTest2
102,org.jsoup.safety.CleanerTest#testRemoveEnforcedAttributes
103,org.jsoup.parser.CharacterReaderTest#rangeEquals
104,org.jsoup.parser.XmlTreeBuilderTest#testParseDeclarationAttributes
105,org.jsoup.safety.CleanerTest#testRemoveTags
106,org.jsoup.nodes.ElementTest#testGetElementsWithAttributeValue
107,org.jsoup.nodes.ElementTest#insertChildrenAsCopy
108,org.jsoup.safety.CleanerTest#testRemoveProtocols
109,org.jsoup.nodes.ElementTest#testShadowElementsAreUpdated
110,org.jsoup.select.ElementsTest#hasText
111,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdatedDisabledPerDefault
112,org.jsoup.nodes.NodeTest#testReplace
113,org.jsoup.nodes.ElementTest#testPrependElement
114,org.jsoup.parser.TokeniserStateTest#testCommentEndBangCoverage
115,org.jsoup.nodes.EntitiesTest#getByName
116,org.jsoup.nodes.ElementTest#testAppendTo
117,org.jsoup.nodes.DocumentTest#testNormalisesStructure
118,org.jsoup.safety.CleanerTest#testRemoveAttributes
119,org.jsoup.parser.HtmlParserTest#parsesUnterminatedOption
120,org.jsoup.select.ElementsTest#forms
121,org.jsoup.nodes.NodeTest#childNodesCopy
122,org.jsoup.nodes.AttributeTest#settersOnOrphanAttribute
123,org.jsoup.safety.CleanerTest#preservesRelativeLinksIfConfigured
124,org.jsoup.parser.TagTest#imgSemantics
125,org.jsoup.safety.CleanerTest#handlesNoHrefAttribute
126,org.jsoup.integration.ConnectTest#doesGet
127,org.jsoup.nodes.DocumentTest#DocumentsWithSameContentAreVerifialbe
128,org.jsoup.integration.ConnectTest#testBinaryContentTypeThrowsException
129,org.jsoup.helper.HttpConnectionTest#headers
130,org.jsoup.helper.HttpConnectionTest#ignoresEmptyCookieNameAndVals
131,org.jsoup.parser.XmlTreeBuilderTest#appendPreservesCaseByDefault
132,org.jsoup.parser.TokeniserStateTest#testCharacterReferenceInRcdata
133,org.jsoup.nodes.ElementTest#testNextElementSiblings
134,org.jsoup.select.ElementsTest#eachAttr
135,org.jsoup.select.ElementsTest#is
136,org.jsoup.select.ElementsTest#empty
137,org.jsoup.nodes.ElementTest#testFormatOutline
138,org.jsoup.nodes.ElementTest#testGetDataNodes
139,org.jsoup.helper.DataUtilTest#discardsSpuriousByteOrderMark
140,org.jsoup.helper.DataUtilTest#discardsSpuriousByteOrderMarkWhenNoCharsetSet
141,org.jsoup.helper.DataUtilTest#firstMetaElementWithCharsetShouldBeUsedForDecoding
142,org.jsoup.helper.DataUtilTest#generatesMimeBoundaries
143,org.jsoup.helper.DataUtilTest#secondMetaElementWithContentTypeContainsCharsetParameter
144,org.jsoup.helper.DataUtilTest#shouldCorrectCharsetForDuplicateCharsetString
145,org.jsoup.helper.DataUtilTest#shouldNotThrowExceptionOnEmptyCharset
146,org.jsoup.helper.DataUtilTest#shouldReturnNullForIllegalCharsetNames
147,org.jsoup.helper.DataUtilTest#shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags
148,org.jsoup.helper.DataUtilTest#supportsBOMinFiles
149,org.jsoup.helper.DataUtilTest#supportsUTF8BOM
150,org.jsoup.helper.DataUtilTest#supportsXmlCharsetDeclaration
151,org.jsoup.helper.DataUtilTest#testCharset
152,org.jsoup.helper.DataUtilTest#testQuotedCharset
153,org.jsoup.helper.DataUtilTest#wrongMetaCharsetFallback
154,org.jsoup.helper.HttpConnectionTest#caseInsensitiveHeaders
155,org.jsoup.helper.HttpConnectionTest#connectWithUrl
156,org.jsoup.helper.HttpConnectionTest#cookie
157,org.jsoup.helper.HttpConnectionTest#data
158,org.jsoup.helper.HttpConnectionTest#encodeUrl
159,org.jsoup.helper.HttpConnectionTest#handlesHeaderEncodingOnRequest
160,org.jsoup.helper.HttpConnectionTest#ignoresEmptySetCookies
161,org.jsoup.helper.HttpConnectionTest#inputStream
162,org.jsoup.helper.HttpConnectionTest#method
163,org.jsoup.helper.HttpConnectionTest#multipleHeaders
164,org.jsoup.helper.HttpConnectionTest#noUrlThrowsValidationError
165,org.jsoup.helper.HttpConnectionTest#referrer
166,org.jsoup.helper.HttpConnectionTest#requestBody
167,org.jsoup.helper.HttpConnectionTest#sameHeadersCombineWithComma
168,org.jsoup.helper.HttpConnectionTest#throwsExceptionOnBodyAsBytesWithoutExecute
169,org.jsoup.helper.HttpConnectionTest#throwsExceptionOnBodyWithoutExecute
170,org.jsoup.helper.HttpConnectionTest#throwsExceptionOnParseWithoutExecute
171,org.jsoup.helper.HttpConnectionTest#throwsOnMalformedUrl
172,org.jsoup.helper.HttpConnectionTest#throwsOnOddData
173,org.jsoup.helper.HttpConnectionTest#timeout
174,org.jsoup.helper.HttpConnectionTest#userAgent
175,org.jsoup.helper.W3CDomTest#convertsGoogleLocation
176,org.jsoup.helper.W3CDomTest#handlesInvalidAttributeNames
177,org.jsoup.helper.W3CDomTest#namespacePreservation
178,org.jsoup.helper.W3CDomTest#simpleConversion
179,org.jsoup.helper.W3CDomTest#treatsUndeclaredNamespaceAsLocalName
180,org.jsoup.integration.ConnectIT#canInterruptBodyStringRead
181,org.jsoup.integration.ConnectIT#canInterruptDocumentRead
182,org.jsoup.integration.ConnectIT#infiniteReadSupported
183,org.jsoup.integration.ConnectIT#slowReadOk
184,org.jsoup.integration.ConnectIT#totalTimeout
185,org.jsoup.integration.ConnectTest#bodyAfterParseThrowsValidationError
186,org.jsoup.integration.ConnectTest#canConnectToLocalServer
187,org.jsoup.integration.ConnectTest#canFetchBinaryAsBytes
188,org.jsoup.integration.ConnectTest#doesNotPostFor302
189,org.jsoup.integration.ConnectTest#doesPostMultipartWithoutInputstream
190,org.jsoup.integration.ConnectTest#doesPut
191,org.jsoup.integration.ConnectTest#exceptOnUnsupportedProtocol
192,org.jsoup.integration.ConnectTest#fetchURIWithWhitespace
193,org.jsoup.integration.ConnectTest#handlesEmptyRedirect
194,org.jsoup.integration.ConnectTest#handlesEmptyStreamDuringParseRead
195,org.jsoup.integration.ConnectTest#handlesRedirect
196,org.jsoup.integration.ConnectTest#multipleParsesOkAfterBufferUp
197,org.jsoup.integration.ConnectTest#parseParseThrowsValidates
198,org.jsoup.integration.ConnectTest#sendsRequestBody
199,org.jsoup.integration.ConnectTest#sendsRequestBodyJsonWithData
200,org.jsoup.integration.ConnectTest#sendsRequestBodyJsonWithoutData
201,org.jsoup.integration.ConnectTest#supportsDeflate
202,org.jsoup.integration.ConnectTest#testBinaryResultThrows
203,org.jsoup.integration.ParseTest#testBaidu
204,org.jsoup.integration.ParseTest#testBaiduVariant
205,org.jsoup.integration.ParseTest#testBinaryThrowsException
206,org.jsoup.integration.ParseTest#testBrokenHtml5CharsetWithASingleDoubleQuote
207,org.jsoup.integration.ParseTest#testGoogleSearchIpod
208,org.jsoup.integration.ParseTest#testHtml5Charset
209,org.jsoup.integration.ParseTest#testLowercaseUtf8Charset
210,org.jsoup.integration.ParseTest#testNewsHomepage
211,org.jsoup.integration.ParseTest#testNytArticle
212,org.jsoup.integration.ParseTest#testSmhBizArticle
213,org.jsoup.integration.ParseTest#testYahooArticle
214,org.jsoup.internal.StringUtilTest#isBlank
215,org.jsoup.internal.StringUtilTest#isNumeric
216,org.jsoup.internal.StringUtilTest#isWhitespace
217,org.jsoup.internal.StringUtilTest#join
218,org.jsoup.internal.StringUtilTest#normaliseWhiteSpace
219,org.jsoup.internal.StringUtilTest#normaliseWhiteSpaceHandlesHighSurrogates
220,org.jsoup.internal.StringUtilTest#padding
221,org.jsoup.internal.StringUtilTest#resolvesRelativeUrls
222,org.jsoup.nodes.AttributeTest#booleanAttributesAreEmptyStringValues
223,org.jsoup.nodes.AttributeTest#testWithSupplementaryCharacterInAttributeKeyAndValue
224,org.jsoup.nodes.AttributeTest#validatesKeysNotEmpty
225,org.jsoup.nodes.AttributeTest#validatesKeysNotEmptyViaSet
226,org.jsoup.nodes.AttributesTest#html
227,org.jsoup.nodes.AttributesTest#removeCaseSensitive
228,org.jsoup.nodes.AttributesTest#testIterator
229,org.jsoup.nodes.AttributesTest#testIteratorEmpty
230,org.jsoup.nodes.AttributesTest#testIteratorHasNext
231,org.jsoup.nodes.AttributesTest#testIteratorRemovable
232,org.jsoup.nodes.AttributesTest#testIteratorUpdateable
233,org.jsoup.nodes.AttributesTest#testSetKeyConsistency
234,org.jsoup.nodes.DocumentTest#DocumentsWithSameContentAreEqual
