rank,test
1,org.jsoup.internal.StringUtilTest#normaliseWhiteSpace
2,org.jsoup.select.CssTest#firstOfType
3,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateIso8859
4,org.jsoup.nodes.ElementTest#testHashAndEqualsAndValue
5,org.jsoup.safety.CleanerTest#testHandlesEmptyAttributes
6,org.jsoup.parser.CharacterReaderTest#unconsume
7,org.jsoup.parser.XmlTreeBuilderTest#canNormalizeCase
8,org.jsoup.select.ElementsTest#attr
9,org.jsoup.parser.TokeniserTest#bufferUpInAttributeVal
10,org.jsoup.parser.HtmlParserTest#parsesComments
11,org.jsoup.nodes.ElementTest#moveByAppend
12,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateDisabled
13,org.jsoup.nodes.AttributesTest#removeCaseSensitive
14,org.jsoup.integration.ConnectTest#parseParseThrowsValidates
15,org.jsoup.integration.ConnectTest#handlesEmptyRedirect
16,org.jsoup.parser.CharacterReaderTest#empty
17,org.jsoup.helper.DataUtilTest#shouldCorrectCharsetForDuplicateCharsetString
18,org.jsoup.nodes.FormElementTest#usesOnForCheckboxValueIfNoValueSet
19,org.jsoup.parser.HtmlParserTest#handlesDataOnlyTags
20,org.jsoup.select.SelectorTest#descendant
21,org.jsoup.parser.TokeniserStateTest#testRcdataLessthanSign
22,org.jsoup.parser.HtmlParserTest#handlesTagsInTextarea
23,org.jsoup.safety.CleanerTest#testDropScript
24,org.jsoup.helper.DataUtilTest#wrongMetaCharsetFallback
25,org.jsoup.safety.CleanerTest#testDropComments
26,org.jsoup.parser.HtmlParserTest#testHgroup
27,org.jsoup.nodes.ElementTest#booleanAttributeOutput
28,org.jsoup.nodes.EntitiesTest#quoteReplacements
29,org.jsoup.select.ElementsTest#outerHtml
30,org.jsoup.helper.W3CDomTest#convertsGoogle
31,org.jsoup.parser.HtmlParserTest#testNoImagesInNoScriptInHead
32,org.jsoup.integration.ConnectTest#doesPostFor307
33,org.jsoup.nodes.ElementTest#testNormalisesText
34,org.jsoup.select.SelectorTest#multiChildDescent
35,org.jsoup.parser.CharacterReaderTest#nextIndexOfString
36,org.jsoup.parser.CharacterReaderTest#consumeToAny
37,org.jsoup.nodes.FormElementTest#createsFormData
38,org.jsoup.parser.AttributeParseTest#parsesRoughAttributeString
39,org.jsoup.nodes.ElementTest#whiteSpaceClassElement
40,org.jsoup.integration.ConnectTest#handlesEmtpyStreamDuringBufferedRead
41,org.jsoup.parser.CharacterReaderTest#consumeToString
42,org.jsoup.nodes.ElementTest#testChildThrowsIndexOutOfBoundsOnMissing
43,org.jsoup.parser.TokeniserStateTest#testEndTagOpen
44,org.jsoup.helper.W3CDomTest#convertsGoogleLocation
45,org.jsoup.nodes.DocumentTest#testClonesDeclarations
46,org.jsoup.select.QueryParserTest#exceptionOnUncloseAttribute
47,org.jsoup.parser.TokeniserTest#handleLargeTitle
48,org.jsoup.nodes.AttributesTest#testSetKeyConsistency
49,org.jsoup.select.SelectorTest#containsData
50,org.jsoup.select.ElementsTest#wrap
51,org.jsoup.select.ElementsTest#unwrapKeepsSpace
52,org.jsoup.parser.HtmlParserTest#handlesCommentsInTable
53,org.jsoup.parser.TagTest#equality
54,org.jsoup.parser.HtmlParserTest#doesNotCreateImplicitLists
55,org.jsoup.nodes.FormElementTest#removeFormElement
56,org.jsoup.parser.HtmlParserTest#preservesSpaceInScript
57,org.jsoup.parser.HtmlParserTest#handlesTbodyTable
58,org.jsoup.parser.HtmlParserTest#handles0CharacterAsText
59,org.jsoup.nodes.DocumentTest#DocumentsWithSameContentAreEqual
60,org.jsoup.helper.HttpConnectionTest#userAgent
61,org.jsoup.parser.CharacterReaderTest#mark
62,org.jsoup.parser.TagTest#isCaseSensitive
63,org.jsoup.parser.HtmlParserTest#testAFlowContents
64,org.jsoup.nodes.NodeTest#handlesAbsOnProtocolessAbsoluteUris
65,org.jsoup.nodes.TextNodeTest#testTextBean
66,org.jsoup.select.SelectorTest#matchTextAttributes
67,org.jsoup.internal.StringUtilTest#isWhitespace
68,org.jsoup.parser.HtmlParserTest#testHandlesDeepSpans
69,org.jsoup.nodes.TextNodeTest#testWithSupplementaryCharacter
70,org.jsoup.select.SelectorTest#parentChildElement
71,org.jsoup.select.ElementsTest#html
72,org.jsoup.nodes.NodeTest#handlesAbsPrefix
73,org.jsoup.parser.XmlTreeBuilderTest#normalizesDiscordantTags
74,org.jsoup.parser.HtmlParserTest#preservedCaseLinksCantNest
75,org.jsoup.safety.CleanerTest#handlesFramesets
76,org.jsoup.parser.HtmlParserTest#characterReaderBuffer
77,org.jsoup.parser.HtmlParserTest#normalisesDocument
78,org.jsoup.nodes.ElementTest#getNamespacedElementsByTag
79,org.jsoup.helper.DataUtilTest#generatesMimeBoundaries
80,org.jsoup.parser.XmlTreeBuilderTest#appendPreservesCaseByDefault
81,org.jsoup.nodes.ElementTest#testGetTextNodes
82,org.jsoup.helper.DataUtilTest#supportsBOMinFiles
83,org.jsoup.select.SelectorTest#testById
84,org.jsoup.nodes.NodeTest#setBaseUriIsRecursive
85,org.jsoup.parser.HtmlParserTest#selfClosingOnNonvoidIsError
86,org.jsoup.parser.HtmlParserTest#caseInsensitiveParseTree
87,org.jsoup.parser.TagTest#trims
88,org.jsoup.parser.TokeniserStateTest#ensureSearchArraysAreSorted
89,org.jsoup.nodes.ElementTest#testWrapWithRemainder
90,org.jsoup.parser.HtmlParserTest#handlesNullInData
