rank,test
1,org.jsoup.integration.ParseTest#testYahooJp
2,org.jsoup.nodes.DocumentTest#testLocation
3,org.jsoup.integration.ParseTest#testNewsHomepage
4,org.jsoup.integration.ParseTest#testNytArticle
5,org.jsoup.integration.ParseTest#testBaidu
6,org.jsoup.integration.ParseTest#testYahooArticle
7,org.jsoup.integration.ParseTest#testSmhBizArticle
8,org.jsoup.integration.ParseTest#testGoogleSearchIpod
9,org.jsoup.integration.ConnectTest#sendsRequestBodyWithUrlParams
10,org.jsoup.integration.ConnectTest#doesGet
11,org.jsoup.integration.ConnectTest#postFiles
12,org.jsoup.integration.ConnectTest#doesPostMultipartWithoutInputstream
13,org.jsoup.integration.ConnectTest#doesPostFor307
14,org.jsoup.integration.ConnectTest#doesNotPostFor302
15,org.jsoup.integration.ConnectTest#sendsRequestBodyJsonWithData
16,org.jsoup.integration.ConnectTest#doesPut
17,org.jsoup.integration.ConnectTest#doesPost
18,org.jsoup.integration.ConnectTest#sendsRequestBodyJsonWithoutData
19,org.jsoup.integration.ConnectTest#sendsRequestBody
20,org.jsoup.parser.HtmlParserTest#handlesXmlDeclAndCommentsBeforeDoctype
21,org.jsoup.helper.W3CDomTest#convertsGoogleLocation
22,org.jsoup.helper.W3CDomTest#convertsGoogle
23,org.jsoup.helper.DataUtilTest#supportsXmlCharsetDeclaration
24,org.jsoup.integration.ConnectTest#ignoresExceptionIfSoConfigured
25,org.jsoup.integration.ConnectTest#bodyAndBytesAvailableBeforeParse
26,org.jsoup.integration.ParseTest#testLowercaseUtf8Charset
27,org.jsoup.integration.ConnectTest#multipleParsesOkAfterBufferUp
28,org.jsoup.integration.ConnectTest#fetchURl
29,org.jsoup.integration.ConnectTest#fetchURIWithWhitespace
30,org.jsoup.integration.ConnectTest#parseParseThrowsValidates
31,org.jsoup.parser.HtmlParserTest#testHtmlLowerCase
32,org.jsoup.integration.ConnectTest#getUtf8Bom
33,org.jsoup.parser.HtmlParserTest#fallbackToUtfIfCantEncode
34,org.jsoup.integration.ParseTest#testBaiduVariant
35,org.jsoup.safety.CleanerTest#testIsValidBodyHtml
36,org.jsoup.nodes.DocumentTest#testShiftJisRoundtrip
37,org.jsoup.select.SelectorTest#testPseudoContains
38,org.jsoup.safety.CleanerTest#testRemoveEnforcedAttributes
39,org.jsoup.safety.CleanerTest#resolvesRelativeLinks
40,org.jsoup.safety.CleanerTest#preservesRelativeLinksIfConfigured
41,org.jsoup.safety.CleanerTest#basicBehaviourTest
42,org.jsoup.parser.HtmlParserTest#selfClosingOnNonvoidIsError
43,org.jsoup.integration.ConnectTest#bodyAfterParseThrowsValidationError
44,org.jsoup.parser.HtmlParserTest#canPreserveTagCase
45,org.jsoup.parser.HtmlParserTest#canPreserveBothCase
46,org.jsoup.parser.HtmlParserTest#canPreserveAttributeCase
47,org.jsoup.parser.XmlTreeBuilderTest#testDetectCharsetEncodingDeclaration
48,org.jsoup.select.SelectorTest#matchText
49,org.jsoup.safety.CleanerTest#testRemoveProtocols
50,org.jsoup.parser.HtmlParserTest#parsesBodyFragment
51,org.jsoup.nodes.NodeTest#childNodesCopy
52,org.jsoup.integration.ConnectTest#handlesRedirect
53,org.jsoup.helper.DataUtilTest#supportsBOMinFiles
54,org.jsoup.select.CssTest#lastOfType
55,org.jsoup.nodes.ElementTest#testShadowElementsAreUpdated
56,org.jsoup.integration.ConnectIT#infiniteReadSupported
57,org.jsoup.select.CssTest#nthLastOfType_advanced
58,org.jsoup.safety.CleanerTest#dropsUnresolvableRelativeLinks
59,org.jsoup.select.SelectorTest#containsData
60,org.jsoup.select.CssTest#firstOfType
61,org.jsoup.parser.HtmlParserTest#testInvalidTableContents
62,org.jsoup.parser.HtmlParserTest#handlesUnclosedFormattingElements
63,org.jsoup.integration.ConnectIT#slowReadOk
64,org.jsoup.select.ElementsTest#val
65,org.jsoup.select.CssTest#nthOfType_unknownTag
66,org.jsoup.select.CssTest#nthOfType_simple
67,org.jsoup.select.CssTest#nthOfType_advanced
68,org.jsoup.safety.CleanerTest#testCleanAnchorProtocol
69,org.jsoup.helper.DataUtilTest#supportsUTF8BOM
70,org.jsoup.nodes.ElementTest#testWrap
71,org.jsoup.select.CssTest#nthLastOfType_simple
72,org.jsoup.select.CssTest#nthLastChild_simple
73,org.jsoup.select.CssTest#nthLastChild_advanced
74,org.jsoup.safety.CleanerTest#handlesAttributesWithNoValue
75,org.jsoup.nodes.ElementTest#testWrapWithRemainder
76,org.jsoup.nodes.ElementTest#before
77,org.jsoup.nodes.ElementTest#after
78,org.jsoup.parser.HtmlParserTest#selfClosingVoidIsNotAnError
79,org.jsoup.select.CssTest#nthChild_simple
80,org.jsoup.select.CssTest#nthChild_advanced
81,org.jsoup.safety.CleanerTest#testCleanJavascriptHref
82,org.jsoup.safety.CleanerTest#handlesNoHrefAttribute
83,org.jsoup.nodes.FormElementTest#createsFormData
84,org.jsoup.nodes.ElementTest#testPrependNewHtml
85,org.jsoup.nodes.ElementTest#testNextElementSiblingAfterClone
86,org.jsoup.select.SelectorTest#testByAttributeRegexCombined
87,org.jsoup.select.CssTest#lastChild
88,org.jsoup.nodes.ElementTest#testPrependRowToTable
89,org.jsoup.nodes.ElementTest#testNormalizesInvisiblesInText
90,org.jsoup.nodes.DocumentTest#testClone
91,org.jsoup.parser.HtmlParserTest#emptyTdTag
92,org.jsoup.nodes.DocumentTest#testHtmlAndXmlSyntax
93,org.jsoup.select.ElementsTest#unwrap
94,org.jsoup.select.CssTest#onlyChild
95,org.jsoup.select.CssTest#firstChild
96,org.jsoup.nodes.TextNodeTest#testSplitAnEmbolden
97,org.jsoup.nodes.ElementTest#testAddNewHtml
