rank,test
1,org.apache.commons.lang.WordUtilsTest#testWrap_StringIntStringBoolean
2,org.apache.commons.lang.text.StrBuilderTest#testLastIndexOf_char_int
3,org.apache.commons.lang.EntitiesPerformanceTest#testLookupPrimitive
4,org.apache.commons.lang.math.IntRangeTest#testConstructor2b
5,org.apache.commons.lang.builder.HashCodeBuilderTest#testByteArray
6,org.apache.commons.lang.NumberRangeTest#testIncludesNumberNull
7,org.apache.commons.lang.StringUtilsIsTest#testIsAlphaspace
8,org.apache.commons.lang.exception.NestableDelegateTestCase#testNestableDelegateGetThrowableCount
9,org.apache.commons.lang.CharEncodingTest#testMustBeSupportedJava1_3_1
10,org.apache.commons.lang.UnhandledExceptionTest#testConstructor_stringAndThrowable_nullInput
11,org.apache.commons.lang.LocaleUtilsTest#testLocaleLookupList_Locale
12,org.apache.commons.lang.text.StrBuilderAppendInsertTest#testAppendWithSeparatorsWithNullText
13,org.apache.commons.lang.oldenum.EnumTest#testNested
14,org.apache.commons.lang.WordUtilsTest#testInitials_String_charArray
15,org.apache.commons.lang.builder.HashCodeBuilderTest#testByteArrayAsObject
16,org.apache.commons.lang.time.DateUtilsTest#testAddWeeks
17,org.apache.commons.lang.text.StrBuilderTest#testEndsWith
18,org.apache.commons.lang.EntitiesTest#testUnescapeMiscellaneous
19,org.apache.commons.lang.ArrayUtilsTest#testCloneDouble
20,org.apache.commons.lang.mutable.MutableFloatTest#testToFloat
21,org.apache.commons.lang.text.StrTokenizerTest#testTSV
22,org.apache.commons.lang.StringUtilsEqualsIndexOfTest#testContainsNone_String
23,org.apache.commons.lang.builder.ToStringBuilderTest#testReflectionCharacter
24,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest#test_toStringExcludeArrayWithNull
25,org.apache.commons.lang.BooleanUtilsTest#test_toBoolean_String
26,org.apache.commons.lang.BooleanUtilsTest#test_toString_Boolean_String_String_String
27,org.apache.commons.lang.StringUtilsTest#testSplit_StringChar
28,org.apache.commons.lang.CharSetTest#testConstructor_String_oddDash
29,org.apache.commons.lang.NotImplementedExceptionTest#testConstructor_Class2
30,org.apache.commons.lang.mutable.MutableDoubleTest#testToString
31,org.apache.commons.lang.ArrayUtilsTest#testLastIndexOfDoubleWithStartIndexTolerance
32,org.apache.commons.lang.builder.CompareToBuilderTest#testObjectComparator
33,org.apache.commons.lang.mutable.MutableObjectTest#testConstructors
34,org.apache.commons.lang.CharSetUtilsTest#testConstructor
35,org.apache.commons.lang.ValidateTest#testAllElementsOfType
36,org.apache.commons.lang.time.FastDateFormatTest#testLowYearPadding
37,org.apache.commons.lang.math.LongRangeTest#testHashCode
38,org.apache.commons.lang.ArrayUtilsRemoveTest#testRemoveBooleanArray
39,org.apache.commons.lang.time.DateFormatUtilsTest#testDateTimeISO
40,org.apache.commons.lang.ValidateTest#testNotNull2
41,org.apache.commons.lang.oldenum.ValuedEnumTest#testEquals
42,org.apache.commons.lang.text.StrBuilderAppendInsertTest#testAppendWithNullText
43,org.apache.commons.lang.StringEscapeUtilsTest#testUnescapeHtml
44,org.apache.commons.lang.StringUtilsIsTest#testIsAsciiPrintable_String
45,org.apache.commons.lang.builder.EqualsBuilderTest#testDoubleArrayHiddenByObject
46,org.apache.commons.lang.ArrayUtilsRemoveTest#testRemoveElementShortArray
47,org.apache.commons.lang.ArrayUtilsTest#testCloneByte
48,org.apache.commons.lang.math.NumberUtilsTest#testMaximumShort
49,org.apache.commons.lang.text.StrBuilderTest#testToCharArray
50,org.apache.commons.lang.mutable.MutableBooleanTest#testConstructors
51,org.apache.commons.lang.math.RangeTest#testToString
52,org.apache.commons.lang.EntitiesPerformanceTest#testEscapeTree
53,org.apache.commons.lang.oldenum.EnumUtilsTest#testGetEx
54,org.apache.commons.lang.math.DoubleRangeTest#testContainsFloat
55,org.apache.commons.lang.ValidateTest#testNotNull1
56,org.apache.commons.lang.time.DateFormatUtilsTest#testFormat
57,org.apache.commons.lang.builder.ToStringStyleTest#testSetContentEnd
58,org.apache.commons.lang.text.StrTokenizerTest#testReset_charArray
59,org.apache.commons.lang.math.NumberUtilsTest#testMinimumInt
60,org.apache.commons.lang.StringEscapeUtilsTest#testEscapeJava
61,org.apache.commons.lang.CharUtilsTest#testToIntValue_Character
62,org.apache.commons.lang.time.FastDateFormatTest#testSimpleDate
63,org.apache.commons.lang.builder.NoFieldNamesToStringStyleTest#testLongArray
64,org.apache.commons.lang.ClassUtilsTest#testGetClassByNormalNameArrays
65,org.apache.commons.lang.builder.ToStringBuilderTest#testFloatArray
66,org.apache.commons.lang.builder.EqualsBuilderTest#testShort
67,org.apache.commons.lang.math.FloatRangeTest#testContainsLong
68,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest#testFixtureWithTransients
69,org.apache.commons.lang.exception.NestableErrorTestCase#testPrintStackTrace
70,org.apache.commons.lang.CharUtilsTest#testToIntValue_char_int
71,org.apache.commons.lang.IntHashMapTest#testIsEmpty
72,org.apache.commons.lang.builder.CompareToBuilderTest#testMultiDoubleArray
73,org.apache.commons.lang.oldenum.EnumTest#testBroken5Operation
74,org.apache.commons.lang.ArrayUtilsTest#testCloneChar
75,org.apache.commons.lang.builder.CompareToBuilderTest#testReflectionCompare
76,org.apache.commons.lang.CharUtilsTest#testToChar_String
77,org.apache.commons.lang.builder.ToStringBuilderTest#testByteArrayArray
78,org.apache.commons.lang.text.VariableFormatterTest#testReplaceNoPrefix
79,org.apache.commons.lang.CharRangeTest#testContains_Char
80,org.apache.commons.lang.BooleanUtilsTest#test_toStringTrueFalse_Boolean
81,org.apache.commons.lang.NumberUtilsTest#testIsNumber
82,org.apache.commons.lang.text.StrBuilderTest#testMidString
83,org.apache.commons.lang.builder.HashCodeBuilderTest#testIntArrayAsObject
84,org.apache.commons.lang.text.StrBuilderAppendInsertTest#testAppend_Primitive
85,org.apache.commons.lang.ArrayUtilsTest#testToPrimitive_short
86,org.apache.commons.lang.StringUtilsTest#testSplitByWholeString_StringStringBoolean
87,org.apache.commons.lang.CharSetTest#testHashCode
88,org.apache.commons.lang.math.DoubleRangeTest#testConstructor2a
89,org.apache.commons.lang.exception.NestableErrorTestCase#testGetMessage
90,org.apache.commons.lang.math.FractionTest#testReduce
91,org.apache.commons.lang.text.StrBuilderTest#testSetCharAt
92,org.apache.commons.lang.StringUtilsEqualsIndexOfTest#testLastIndexOf_charInt
93,org.apache.commons.lang.oldenum.ValuedEnumTest#testGet
94,org.apache.commons.lang.builder.ReflectionToStringBuilderExcludeTest#test_toStringExcludeEmptyArray
95,org.apache.commons.lang.StringUtilsTest#testOverlay_StringStringIntInt
96,org.apache.commons.lang.ArrayUtilsTest#testSameLength
97,org.apache.commons.lang.text.CompositeFormatTest#testUsage
98,org.apache.commons.lang.builder.SimpleToStringStyleTest#testObjectArray
99,org.apache.commons.lang.ArrayUtilsTest#testCloneFloat
100,org.apache.commons.lang.StringUtilsEqualsIndexOfTest#testIndexOf_String
101,org.apache.commons.lang.NotImplementedExceptionTest#testConstructor_
102,org.apache.commons.lang.ArrayUtilsTest#testContainsDoubleTolerance
103,org.apache.commons.lang.EntitiesPerformanceTest#testLookupHash
104,org.apache.commons.lang.math.LongRangeTest#testToString
105,org.apache.commons.lang.IllegalClassExceptionTest#testConstructor_classArgs_nullActual
106,org.apache.commons.lang.math.NumberUtilsTest#testConstructor
107,org.apache.commons.lang.StringUtilsTest#testCenter_StringIntChar
108,org.apache.commons.lang.SerializationUtilsTest#testSerializeBytesUnserializable
109,org.apache.commons.lang.math.LongRangeTest#testConstructor1b
110,org.apache.commons.lang.mutable.MutableIntTest#testToString
111,org.apache.commons.lang.builder.CompareToBuilderTest#testReflectionHierarchyCompareTransients
112,org.apache.commons.lang.text.StrBuilderAppendInsertTest#testAppend_Object
113,org.apache.commons.lang.builder.HashCodeBuilderTest#testObjectArray
114,org.apache.commons.lang.ClassUtilsTest#testGetClassWithArrayClasses2D
115,org.apache.commons.lang.text.StrTokenizerTest#testConstructor_String_char_char
116,org.apache.commons.lang.time.DateFormatUtilsTest#testSMTP
117,org.apache.commons.lang.NotImplementedExceptionTest#testGetThrowable
118,org.apache.commons.lang.builder.ToStringStyleTest#testSetSummaryObjectStartText
119,org.apache.commons.lang.CharRangeTest#testConstructorAccessors_Char
120,org.apache.commons.lang.EntitiesPerformanceTest#testUnescapeHash
121,org.apache.commons.lang.ArrayUtilsTest#testToMap
122,org.apache.commons.lang.EntitiesPerformanceTest#testEscapeLookup
123,org.apache.commons.lang.builder.EqualsBuilderTest#testChar
124,org.apache.commons.lang.text.StrBuilderAppendInsertTest#testAppendFixedWidthPadRight
125,org.apache.commons.lang.CharSetUtilsTest#testKeep_StringStringarray
126,org.apache.commons.lang.oldenum.ValuedEnumTest#testName
