rank,test
1,org.joda.time.field.TestPreciseDateTimeField#test_isLeap_long
2,org.joda.time.TestParseISO#testSpecTimeTruncatedFractionS
3,org.joda.time.TestLocalDate_Basics#testWithFieldAdded_DurationFieldType_int_2
4,org.joda.time.TestLocalDateTime_Basics#testToDate_autumnDST
5,org.joda.time.TestHours#testToString
6,org.joda.time.TestPeriod_Basics#testWithField1
7,org.joda.time.TestParseISO#testSpecReducedPrecisionC
8,org.joda.time.format.TestISODateTimeFormatParsing#test_dateTimeParser
9,org.joda.time.TestPartial_Basics#testWithFieldAdded5
10,org.joda.time.TestDateTimeZone#testSerialization2
11,org.joda.time.tz.TestCompiler#test_2400_fromDay
12,org.joda.time.TestDateTime_Constructors#testConstructor_nullObject_DateTimeZone
13,org.joda.time.TestTimeOfDay_Basics#testGetValue
14,org.joda.time.TestInstant_Basics#testTest
15,org.joda.time.TestDateTimeComparator#testBasicComps2
16,org.joda.time.TestDateTime_Basics#testToLocalTime
17,org.joda.time.field.TestBaseDateTimeField#test_getAsShortText_RP_int_Locale
18,org.joda.time.TestMonths#testFactory_monthsBetween_RPartial
19,org.joda.time.TestDateTime_Basics#testPlusYears_int
20,org.joda.time.TestDateTimeZoneCutover#test_DateTime_roundCeiling_hourOfDay_NewYork_Autumn_preCutover
21,org.joda.time.TestDateTime_Basics#testToMutableDateTime_Chronology
22,org.joda.time.TestPartial_Basics#testWithFieldAdded8
23,org.joda.time.TestYearMonth_Constructors#testConstructor_ObjectStringEx3
24,org.joda.time.field.TestMillisDurationField#test_getMillis_long_long
25,org.joda.time.TestDateTimeFieldType#test_year
26,org.joda.time.TestDuration_Constructors#testConstructor_RI_RI2
27,org.joda.time.field.TestBaseDateTimeField#test_addWrapField_long_int
28,org.joda.time.TestPartial_Basics#testIsEqual_TOD
29,org.joda.time.TestLocalDateTime_Basics#testMinusMillis_int
30,org.joda.time.TestDuration_Basics#testPlus_RD1
31,org.joda.time.TestSerialization#testSerializedCopticChronology
32,org.joda.time.TestInterval_Basics#testEqualsHashCodeLenient
33,org.joda.time.TestDateTimeZone#testGetShortNameProviderName
34,org.joda.time.TestPeriod_Basics#testToStandardDays_months
35,org.joda.time.TestDateMidnight_Constructors#testConstructor_int_int_int_nullChronology
36,org.joda.time.TestInterval_Basics#testGap_RInterval_zone
37,org.joda.time.TestDateMidnight_Basics#testIsBefore
38,org.joda.time.TestMutableInterval_Constructors#testConstructor_Object4
39,org.joda.time.TestDateTimeZone#testPatchedNameKeysSydney
40,org.joda.time.TestPeriod_Basics#testWithField2
41,org.joda.time.TestMutableInterval_Updates#testSetEnd_RI3
