rank,test
1,org.joda.time.tz.TestCompiler#testCompile
2,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology8
3,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology7
4,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology5
5,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology4
6,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology2
7,org.joda.time.convert.TestStringConverter#testSetIntoInterval_Object_Chronology1
8,org.joda.time.TestYearMonthDay_Constructors#testConstructor_ObjectString4
9,org.joda.time.TestYearMonthDay_Constructors#testConstructor_ObjectString3
10,org.joda.time.TestYearMonthDay_Constructors#testConstructor_ObjectString2
11,org.joda.time.TestDateMidnight_Basics#testToString_String_String
12,org.joda.time.TestDateTime_Basics#testToString_String_Locale
13,org.joda.time.TestYearMonthDay_Constructors#testConstructor_ObjectString1
14,org.joda.time.format.TestDateTimeFormatter#testParseMutableDateTime_simple_precedence
15,org.joda.time.format.TestDateTimeFormatter#testParseInto_simple_precedence
16,org.joda.time.format.TestDateTimeFormatter#testParseDateTime_simple_precedence
17,org.joda.time.TestYearMonthDay_Basics#testToInterval
18,org.joda.time.TestYearMonthDay_Basics#testToInterval_nullZone
19,org.joda.time.TestYearMonthDay_Constructors#testConstructor_ObjectString5
20,org.joda.time.TestLocalDateTime_Constructors#testConstructor_ObjectString3
21,org.joda.time.format.TestPeriodFormatter#testPrinterParserMethods
22,org.joda.time.format.TestDateTimeFormatter#testPrinterParserMethods
23,org.joda.time.TestPartial_Basics#testToDateTime_RI
24,org.joda.time.TestLocalDateTime_Constructors#testConstructor_ObjectString2
25,org.joda.time.TestLocalDateTime_Basics#testToString_String_Locale
26,org.joda.time.TestPartial_Basics#testToDateTime_nullRI
27,org.joda.time.TestLocalDateTime_Constructors#testConstructor_ObjectString4
28,org.joda.time.TestLocalDateTime_Constructors#testConstructor_ObjectString1
