project,bug,mode,apfd
Jsoup,93,lom,0.9848
Jsoup,93,dis-lom,0.9848
Jsoup,93,cov-clustering,0.6626
Csv,16,lom,0.9643
Csv,16,dis-lom,0.9643
Csv,16,cov-clustering,0.9152
JacksonDatabind,112,lom,0.9921
JacksonDatabind,112,dis-lom,0.9924
JacksonDatabind,112,cov-clustering,0.9923
JacksonXml,6,lom,0.7958
JacksonXml,6,dis-lom,0.9399
JacksonXml,6,cov-clustering,0.8158
Time,27,lom,0.9911
Time,27,dis-lom,0.9915
Time,27,cov-clustering,0.8959
Codec,18,lom,0.7549
Codec,18,dis-lom,0.9540
Codec,18,cov-clustering,0.6523
JacksonCore,26,lom,0.9715
JacksonCore,26,dis-lom,0.9729
JacksonCore,26,cov-clustering,0.9687
Lang,65,lom,0.9938
Lang,65,dis-lom,0.9938
Lang,65,cov-clustering,0.5494
Jsoup,93,total,0.6040
Jsoup,93,additional,0.6919
Jsoup,93,bee_colony,0.8333
Jsoup,93,geometric_combined,0.9848
Jsoup,93,random_seed1,0.3283
Jsoup,93,random_seed2,0.7495
Jsoup,93,random_seed3,0.1626
Jsoup,93,random_seed4,0.4828
Jsoup,93,random_seed5,0.6030
Csv,16,total,0.9152
Csv,16,additional,0.9152
Csv,16,bee_colony,0.9470
Csv,16,geometric_combined,0.9152
Csv,16,random_seed1,0.9643
Csv,16,random_seed2,0.9066
Csv,16,random_seed3,0.9643
Csv,16,random_seed4,0.9643
Csv,16,random_seed5,0.8200
JacksonDatabind,112,total,0.9920
JacksonDatabind,112,additional,0.9924
JacksonDatabind,112,bee_colony,0.9909
JacksonDatabind,112,geometric_combined,0.9936
JacksonDatabind,112,random_seed1,0.9901
JacksonDatabind,112,random_seed2,0.9909
JacksonDatabind,112,random_seed3,0.9896
JacksonDatabind,112,random_seed4,0.9921
JacksonDatabind,112,random_seed5,0.9915
JacksonXml,6,total,0.7779
JacksonXml,6,additional,0.8886
JacksonXml,6,bee_colony,0.9441
JacksonXml,6,geometric_combined,0.8102
JacksonXml,6,random_seed1,0.8290
JacksonXml,6,random_seed2,0.9214
JacksonXml,6,random_seed3,0.7967
JacksonXml,6,random_seed4,0.8644
JacksonXml,6,random_seed5,0.8608
Time,27,total,0.8061
Time,27,additional,0.9159
Time,27,bee_colony,0.7925
Time,27,geometric_combined,0.9893
Time,27,random_seed1,0.7709
Time,27,random_seed2,0.7203
Time,27,random_seed3,0.7964
Time,27,random_seed4,0.8727
Time,27,random_seed5,0.8092
Codec,18,total,0.6101
Codec,18,additional,0.6840
Codec,18,bee_colony,0.9713
Codec,18,geometric_combined,0.7187
Codec,18,random_seed1,0.5204
Codec,18,random_seed2,0.4932
Codec,18,random_seed3,0.5724
Codec,18,random_seed4,0.5724
Codec,18,random_seed5,0.5603
JacksonCore,26,total,0.9677
JacksonCore,26,additional,0.9707
JacksonCore,26,bee_colony,0.9526
JacksonCore,26,geometric_combined,0.9702
JacksonCore,26,random_seed1,0.9452
JacksonCore,26,random_seed2,0.9382
JacksonCore,26,random_seed3,0.9431
JacksonCore,26,random_seed4,0.9446
JacksonCore,26,random_seed5,0.9482
Lang,65,total,0.5741
Lang,65,additional,0.6852
Lang,65,bee_colony,0.3148
Lang,65,geometric_combined,0.9938
Lang,65,random_seed1,0.3765
Lang,65,random_seed2,0.5494
Lang,65,random_seed3,0.9691
Lang,65,random_seed4,0.8457
Lang,65,random_seed5,0.8333
