project,bug,mode,apfd
Jsoup,93,lom,0.9848
Jsoup,93,dis-lom,0.9848
Jsoup,93,cov-clustering,0.6626
Csv,16,lom,0.9643
Csv,16,dis-lom,0.9643
Csv,16,cov-clustering,0.9152
JacksonDatabind,112,lom,0.9921
JacksonDatabind,112,dis-lom,0.9924
JacksonDatabind,112,cov-clustering,0.9923
JacksonXml,6,lom,0.7958
JacksonXml,6,dis-lom,0.9399
JacksonXml,6,cov-clustering,0.8158
Time,27,lom,0.9911
Time,27,dis-lom,0.9915
Time,27,cov-clustering,0.8959
Codec,18,lom,0.7549
Codec,18,dis-lom,0.9540
Codec,18,cov-clustering,0.6523
JacksonCore,26,lom,0.9715
JacksonCore,26,dis-lom,0.9729
JacksonCore,26,cov-clustering,0.9687
Lang,65,lom,0.9938
Lang,65,dis-lom,0.9938
Lang,65,cov-clustering,0.5494
