project,bug,rank,test,score
Compress,47,1,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS.zip],0.043171
Compress,47,2,org.apache.commons.compress.archivers.zip.ExplodeSupportTest#testZipStreamWithImplodeCompression8K3Trees,0.025501
Compress,47,3,org.apache.commons.compress.archivers.JarTestCase#testJarUnarchive,0.023984
Compress,47,4,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testThrowOnInvalidEntry,0.022178
Compress,47,5,org.apache.commons.compress.archivers.ArchiveStreamFactoryTest#skipsPK00Prefix,0.020161
Compress,47,6,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#properlyMarksEntriesAsUnreadableIfUncompressedSizeIsUnknown,0.018863
Compress,47,7,org.apache.commons.compress.archivers.zip.UTF8ZipFilesTest#testZipFileReadsUnicodeFields,0.016942
Compress,47,8,org.apache.commons.compress.archivers.ZipTestCase#testSkipEntryWithUnsupportedCompressionMethod,0.016765
Compress,47,9,org.apache.commons.compress.archivers.zip.ZipArchiveInputStreamTest#testReadingOfFirstStoredEntry,0.014757
Compress,47,10,org.apache.commons.compress.IOMethodsTest#testReadZip,0.013622
JacksonCore,26,1,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartFail,0.019168
JacksonCore,26,2,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesScientific,0.010723
JacksonCore,26,3,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testAposQuotingEnabled,0.010280
JacksonCore,26,4,com.fasterxml.jackson.core.json.async.AsyncScalarArrayTest#testTokens,0.008413
JacksonCore,26,5,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testNumbers,0.008349
JacksonCore,26,6,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testMismatchedArray,0.006670
JacksonCore,26,7,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testSingleQuotesEscaped,0.006567
JacksonCore,26,8,com.fasterxml.jackson.core.json.async.AsyncFieldNamesTest#testEscapedFieldNames,0.006546
JacksonCore,26,9,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testNonStandardNameChars,0.006023
JacksonCore,26,10,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledNonRootFloats,0.005855
JacksonDatabind,112,1,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays,0.053974
JacksonDatabind,112,2,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection,0.021978
JacksonDatabind,112,3,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls,0.015348
JacksonDatabind,112,4,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667,0.008791
JacksonDatabind,112,5,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk,0.006410
JacksonDatabind,112,6,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2,0.006410
JacksonDatabind,112,7,com.fasterxml.jackson.databind.ObjectReaderTest#testPointerWithArrays,0.002564
JacksonDatabind,112,8,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString,0.000000
JacksonDatabind,112,9,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead,0.000000
JacksonDatabind,112,10,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString,0.000000
Gson,18,1,com.google.gson.internal.bind.RecursiveTypesResolveTest#testIssue440WeakReference,0.160373
Gson,18,2,com.google.gson.reflect.TypeTokenTest#testArrayFactory,0.093549
Gson,18,3,com.google.gson.internal.GsonTypesTest#testGetFirstTypeArgument,0.081863
Gson,18,4,com.google.gson.internal.bind.RecursiveTypesResolveTest#testDoubleSupertype,0.077472
Gson,18,5,com.google.gson.JavaSerializationTest#testMapIsSerializable,0.075546
Gson,18,6,com.google.gson.functional.PrettyPrintingTest#testPrettyPrintListOfPrimitiveArrays,0.075510
Gson,18,7,com.google.gson.MixedStreamTest#testReadClosed,0.064344
Gson,18,8,com.google.gson.reflect.TypeTokenTest#testIsAssignableFromWithNestedWildcards,0.063340
Gson,18,9,com.google.gson.functional.InstanceCreatorTest#testInstanceCreatorForCollectionType,0.055514
Gson,18,10,com.google.gson.functional.MoreSpecificTypeSerializationTest#testParameterizedSubclassFields,0.047594
JacksonXml,6,1,com.fasterxml.jackson.dataformat.xml.misc.PolymorphicTypesTest#testAsClassProperty,0.169082
JacksonXml,6,2,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testRootEnumIssue121,0.084541
JacksonXml,6,3,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetValue,0.074930
JacksonXml,6,4,com.fasterxml.jackson.dataformat.xml.RoundtripContentTest#testRoundtrip,0.067633
JacksonXml,6,5,com.fasterxml.jackson.dataformat.xml.failing.EmptyListDeser124Test#test124,0.051460
JacksonXml,6,6,com.fasterxml.jackson.dataformat.xml.failing.PolymorphicIssue4Test#testAsClassArray,0.048309
JacksonXml,6,7,com.fasterxml.jackson.dataformat.xml.stream.XmlParserTest#testRoundTripWithSample,0.046113
