project,bug,rank,test,score
Compress,47,1,org.apache.commons.compress.ArchiveReadTest#testArchive[file=SunOS.zip],0.043171
Compress,47,2,org.apache.commons.compress.ArchiveReadTest#testArchive[file=FreeBSD.zip],0.043171
Compress,47,3,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromAndAddToZipUsingZipFilePerform,0.043171
Compress,47,4,org.apache.commons.compress.changes.ChangeSetTestCase#testAddToEmptyArchive,0.043171
Compress,47,5,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteAddToOneFileArchive,0.043171
Compress,47,6,org.apache.commons.compress.changes.ChangeSetTestCase#testAddAllreadyExistingWithReplaceFalse,0.043171
Compress,47,7,org.apache.commons.compress.changes.ChangeSetTestCase#testDeletePlusAddSame,0.043171
Compress,47,8,org.apache.commons.compress.changes.ChangeSetTestCase#testAddAllreadyExistingWithReplaceTrue,0.043171
Compress,47,9,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromJar,0.043171
Compress,47,10,org.apache.commons.compress.changes.ChangeSetTestCase#testDeleteFromZip,0.043171
JacksonCore,26,1,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartFail,0.019168
JacksonCore,26,2,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testInvalidKeywordsStartOk,0.018633
JacksonCore,26,3,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testNumbers,0.017019
JacksonCore,26,4,com.fasterxml.jackson.core.json.async.AsyncNonStdParsingTest#testAposQuotingEnabled,0.016580
JacksonCore,26,5,com.fasterxml.jackson.core.json.async.AsyncSimpleObjectTest#testBooleans,0.016031
JacksonCore,26,6,com.fasterxml.jackson.core.json.async.AsyncSimpleNestedTest#testStuffInObject,0.016031
JacksonCore,26,7,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesScientific,0.015259
JacksonCore,26,8,com.fasterxml.jackson.core.json.async.AsyncStringObjectTest#testBasicFieldsNames,0.014277
JacksonCore,26,9,com.fasterxml.jackson.failing.async.AsyncTokenErrorTest#testMangledNonRootFloats,0.014218
JacksonCore,26,10,com.fasterxml.jackson.core.json.async.AsyncRootNumbersTest#testRootDoublesSimple,0.014150
JacksonDatabind,112,1,com.fasterxml.jackson.databind.deser.jdk.CollectionDeserTest#testImplicitArrays,0.053974
JacksonDatabind,112,2,com.fasterxml.jackson.databind.struct.SingleValueAsArrayTest#testWithSingleString,0.053974
JacksonDatabind,112,3,com.fasterxml.jackson.databind.struct.FormatFeatureAcceptSingleTest#testSingleStringListRead,0.053974
JacksonDatabind,112,4,com.fasterxml.jackson.databind.deser.NullHandlingTest#testListOfNulls,0.053719
JacksonDatabind,112,5,com.fasterxml.jackson.databind.deser.filter.NullConversionsGenericTest#testNullsToEmptyCollection,0.038462
JacksonDatabind,112,6,com.fasterxml.jackson.databind.jsontype.deftyping.TestDefaultForLists#testJackson667,0.030769
JacksonDatabind,112,7,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArrayOfSize2,0.025641
JacksonDatabind,112,8,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithString,0.025641
JacksonDatabind,112,9,com.fasterxml.jackson.databind.jsontype.TestPolymorphicWithDefaultImpl#testDeserializationWithArray,0.025641
JacksonDatabind,112,10,com.fasterxml.jackson.databind.deser.TestSetterlessProperties#testSimpleSetterlessCollectionOk,0.019231
Gson,18,1,com.google.gson.internal.bind.RecursiveTypesResolveTest#testIssue440WeakReference,0.160373
Gson,18,2,com.google.gson.internal.bind.RecursiveTypesResolveTest#testRecursiveTypeVariablesResolve12,0.160373
Gson,18,3,com.google.gson.internal.bind.RecursiveTypesResolveTest#testRecursiveTypeVariablesResolve1,0.160373
Gson,18,4,com.google.gson.internal.bind.RecursiveTypesResolveTest#testIssue603PrintStream,0.160373
Gson,18,5,com.google.gson.internal.bind.RecursiveTypesResolveTest#testRecursiveResolveSimple,0.160373
Gson,18,6,com.google.gson.functional.DefaultTypeAdaptersTest#testDateSerializationInCollection,0.160373
Gson,18,7,com.google.gson.functional.JsonParserTest#testExtraCommasInArrays,0.160373
Gson,18,8,com.google.gson.functional.InstanceCreatorTest#testInstanceCreatorForCollectionType,0.160373
Gson,18,9,com.google.gson.functional.MoreSpecificTypeSerializationTest#testListOfParameterizedSubclassFields,0.160373
Gson,18,10,com.google.gson.functional.MoreSpecificTypeSerializationTest#testMapOfParameterizedSubclassFields,0.160373
JacksonXml,6,1,com.fasterxml.jackson.dataformat.xml.ser.TestSerialization#testCustomSerializer,0.044349
JacksonXml,6,2,com.fasterxml.jackson.dataformat.xml.failing.EnumIssue9Test#testRootEnumIssue121,0.038013
JacksonXml,6,3,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetValue,0.037056
JacksonXml,6,4,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawCharArrayValue,0.037056
JacksonXml,6,5,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawSimpleValue,0.037056
JacksonXml,6,6,com.fasterxml.jackson.dataformat.xml.lists.WrappedListsTest#testEmptyList,0.036053
JacksonXml,6,7,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSimpleElement,0.034702
JacksonXml,6,8,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSimpleAttribute,0.034702
JacksonXml,6,9,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testRawOffsetAttribute,0.034702
JacksonXml,6,10,com.fasterxml.jackson.dataformat.xml.stream.XmlGeneratorTest#testSecondLevelAttribute,0.034702
Codec,18,1,org.apache.commons.codec.net.BCodecTest#testUTF8RoundTrip,0.333333
Codec,18,2,org.apache.commons.codec.net.BCodecTest#testBasicEncodeDecode,0.333333
Codec,18,3,org.apache.commons.codec.net.QuotedPrintableCodecTest#testUTF8RoundTrip,0.333333
Codec,18,4,org.apache.commons.codec.net.QuotedPrintableCodecTest#testBasicEncodeDecode,0.333333
Codec,18,5,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSafeCharEncodeDecode,0.333333
Codec,18,6,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSkipNotEncodedCRLF,0.333333
Codec,18,7,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakDecode,0.333333
Codec,18,8,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakEncode,0.333333
