project,bug,mode,apfd
Jsoup,93,total,0.6040
Jsoup,93,additional,0.7212
Jsoup,93,random_seed1,0.6020
Jsoup,93,random_seed2,0.8960
Jsoup,93,random_seed3,0.8949
Jsoup,93,random_seed4,0.4283
Jsoup,93,random_seed5,0.7212
Csv,16,total,0.9152
Csv,16,additional,0.9152
Csv,16,random_seed1,0.9643
Csv,16,random_seed2,0.9066
Csv,16,random_seed3,0.9643
Csv,16,random_seed4,0.9643
Csv,16,random_seed5,0.8200
JacksonDatabind,112,total,0.9920
JacksonDatabind,112,additional,0.9939
JacksonDatabind,112,random_seed1,0.9901
JacksonDatabind,112,random_seed2,0.9909
JacksonDatabind,112,random_seed3,0.9896
JacksonDatabind,112,random_seed4,0.9921
JacksonDatabind,112,random_seed5,0.9915
JacksonXml,6,total,0.7779
JacksonXml,6,additional,0.8907
JacksonXml,6,random_seed1,0.8290
JacksonXml,6,random_seed2,0.9214
JacksonXml,6,random_seed3,0.7967
JacksonXml,6,random_seed4,0.8644
JacksonXml,6,random_seed5,0.8608
Time,27,total,0.8061
Time,27,additional,0.9134
Time,27,random_seed1,0.7709
Time,27,random_seed2,0.7203
Time,27,random_seed3,0.7964
Time,27,random_seed4,0.8727
Time,27,random_seed5,0.8092
Codec,18,total,0.6101
Codec,18,additional,0.7262
Codec,18,random_seed1,0.5204
Codec,18,random_seed2,0.4932
Codec,18,random_seed3,0.5724
Codec,18,random_seed4,0.5724
Codec,18,random_seed5,0.5603
JacksonCore,26,total,0.9677
JacksonCore,26,additional,0.9697
JacksonCore,26,random_seed1,0.9452
JacksonCore,26,random_seed2,0.9382
JacksonCore,26,random_seed3,0.9431
JacksonCore,26,random_seed4,0.9446
JacksonCore,26,random_seed5,0.9482
Lang,65,total,0.5741
Lang,65,additional,0.7346
Lang,65,random_seed1,0.3765
Lang,65,random_seed2,0.5494
Lang,65,random_seed3,0.9691
Lang,65,random_seed4,0.8457
Lang,65,random_seed5,0.8333
