project,bug,mode,clusters,tests,methods,duration_sec
Jsoup,93,cov-clustering,26,690,1339,1.1898
Gson,18,cov-clustering,32,1034,753,0.1504
Csv,16,cov-clustering,17,284,173,0.0074
JacksonDatabind,112,cov-clustering,6,36,12,0.0008
JacksonXml,6,cov-clustering,14,209,443,0.0098
Compress,47,cov-clustering,31,954,2244,0.4220
Time,27,cov-clustering,61,3768,3602,8.0527
Codec,18,cov-clustering,29,834,693,0.0894
JacksonCore,26,cov-clustering,10,108,108,0.0023
Lang,65,cov-clustering,40,1609,1958,0.8860
Csv,16,tcp-total,,284,173,0.0009
Csv,16,tcp-additional,,284,173,0.0028
JacksonDatabind,112,tcp-total,,36,12,0.0003
JacksonDatabind,112,tcp-additional,,36,12,0.0003
JacksonXml,6,tcp-total,,209,443,0.0003
JacksonXml,6,tcp-additional,,209,443,0.0036
Jsoup,93,lom,0,690,1339,0.0213
Gson,18,lom,0,1034,753,0.0208
Csv,16,lom,0,284,173,0.0023
JacksonDatabind,112,lom,0,36,12,0.0007
JacksonXml,6,lom,0,209,443,0.0037
Compress,47,lom,0,954,2244,0.0426
Time,27,lom,0,3768,3602,0.2717
Codec,18,lom,0,834,693,0.0116
JacksonCore,26,lom,0,108,108,0.0017
Lang,65,lom,0,1609,1958,0.0705
Jsoup,93,dis-lom,0,690,1339,2.6262
Gson,18,dis-lom,0,1034,753,2.7411
Csv,16,dis-lom,0,284,173,0.2758
JacksonDatabind,112,dis-lom,0,36,12,0.0026
JacksonXml,6,dis-lom,0,209,443,0.5234
Compress,47,dis-lom,0,954,2244,7.4866
Jsoup,93,lom,0,690,1339,0.0215
Gson,18,lom,0,1034,753,0.0200
Csv,16,lom,0,284,173,0.0033
JacksonDatabind,112,lom,0,36,12,0.0009
JacksonXml,6,lom,0,209,443,0.0046
Compress,47,lom,0,954,2244,0.0383
Time,27,lom,0,3768,3602,0.2765
Codec,18,lom,0,834,693,0.0117
JacksonCore,26,lom,0,108,108,0.0020
Lang,65,lom,0,1609,1958,0.0517
Jsoup,93,lom,0,690,1339,0.0212
Gson,18,lom,0,1034,753,0.0258
Csv,16,lom,0,284,173,0.0024
JacksonDatabind,112,lom,0,36,12,0.0009
JacksonXml,6,lom,0,209,443,0.0041
Compress,47,lom,0,954,2244,0.0452
Time,27,lom,0,3768,3602,0.2706
Codec,18,lom,0,834,693,0.0120
JacksonCore,26,lom,0,108,108,0.0021
Lang,65,lom,0,1609,1958,0.0705
Csv,16,tcp-total,,284,173,0.0010
Csv,16,tcp-additional,,284,173,0.0039
JacksonDatabind,112,tcp-total,,36,12,0.0006
JacksonDatabind,112,tcp-additional,,36,12,0.0005
JacksonXml,6,tcp-total,,209,443,0.0007
JacksonXml,6,tcp-additional,,209,443,0.0041
Time,27,tcp-total,,3768,3602,0.0058
Time,27,tcp-additional,,3768,3602,13.1486
Codec,18,tcp-total,,834,693,0.0011
Codec,18,tcp-additional,,834,693,0.0215
JacksonCore,26,tcp-total,,108,108,0.0003
JacksonCore,26,tcp-additional,,108,108,0.0009
Lang,65,tcp-total,,1609,1958,0.0017
Lang,65,tcp-additional,,1609,1958,0.1777
Jsoup,93,tcp-total,,690,1339,0.0022
Jsoup,93,tcp-additional,,690,1339,0.1676
Csv,16,tcp-total,,284,173,0.0006
Csv,16,tcp-additional,,284,173,0.0036
JacksonDatabind,112,tcp-total,,36,12,0.0002
JacksonDatabind,112,tcp-additional,,36,12,0.0002
JacksonXml,6,tcp-total,,209,443,0.0005
JacksonXml,6,tcp-additional,,209,443,0.0047
Time,27,tcp-total,,3768,3602,0.0054
Time,27,tcp-additional,,3768,3602,15.8317
Codec,18,tcp-total,,834,693,0.0015
Codec,18,tcp-additional,,834,693,0.0276
JacksonCore,26,tcp-total,,108,108,0.0005
JacksonCore,26,tcp-additional,,108,108,0.0011
Lang,65,tcp-total,,1609,1958,0.0025
Lang,65,tcp-additional,,1609,1958,0.2220
ALL,ALL,cov-clustering,,,,1.0811
ALL,ALL,tcp-total,,,,0.0014
ALL,ALL,tcp-additional,,,,1.6457
ALL,ALL,lom,,,,0.0444
ALL,ALL,dis-lom,,,,2.2759
