project,bug,mode,clusters,tests,methods,duration_sec
Jsoup,93,cov-clustering,26,690,1339,21.7169
Gson,18,cov-clustering,32,1034,753,47.2017
Csv,16,cov-clustering,17,284,173,0.8146
JacksonDatabind,112,cov-clustering,6,36,12,0.0021
JacksonXml,6,cov-clustering,14,209,443,0.5493
Compress,47,cov-clustering,31,954,2244,59.0693
Jsoup,93,lom,0,690,1339,0.0231
Gson,18,lom,0,1034,753,0.0211
Csv,16,lom,0,284,173,0.0030
JacksonDatabind,112,lom,0,36,12,0.0009
JacksonXml,6,lom,0,209,443,0.0041
Compress,47,lom,0,954,2244,0.0394
Time,27,lom,0,3768,3602,0.2734
Codec,18,lom,0,834,693,0.0122
JacksonCore,26,lom,0,108,108,0.0020
Lang,65,lom,0,1609,1958,0.0517
Jsoup,93,dis-lom,0,690,1339,2.6382
Gson,18,dis-lom,0,1034,753,25.9124
Csv,16,dis-lom,0,284,173,0.2795
JacksonDatabind,112,dis-lom,0,36,12,0.0029
JacksonXml,6,dis-lom,0,209,443,0.5403
Compress,47,dis-lom,0,954,2244,7.3159
Csv,16,tcp-total,,284,173,0.0011
Csv,16,tcp-additional,,284,173,0.0030
JacksonDatabind,112,tcp-total,,36,12,0.0003
JacksonDatabind,112,tcp-additional,,36,12,0.0002
JacksonXml,6,tcp-total,,209,443,0.0004
JacksonXml,6,tcp-additional,,209,443,0.0036
Time,27,tcp-total,,3768,3602,0.0061
Time,27,tcp-additional,,3768,3602,11.3699
Codec,18,tcp-total,,834,693,0.0011
Codec,18,tcp-additional,,834,693,0.0214
JacksonCore,26,tcp-total,,108,108,0.0002
JacksonCore,26,tcp-additional,,108,108,0.0008
Lang,65,tcp-total,,1609,1958,0.0020
Lang,65,tcp-additional,,1609,1958,0.1660
ALL,ALL,cov-clustering,,,,21.5590
ALL,ALL,lom,,,,0.0431
ALL,ALL,dis-lom,,,,6.1149
ALL,ALL,tcp-total,,,,0.0016
ALL,ALL,tcp-additional,,,,1.6521
